"source_member_ordinal","member_path_raw","pair_token_opaque","typed_observation_count","resolution_status","resolution_method","official_pair_key","official_altname","official_wsname","base_asset_id","quote_asset_id","base_exchange_symbol","quote_exchange_symbol","pair_status","research_eligible","identity_evidence_json"
"6569","STGEUR_1.csv","STGEUR","463","official_exact","official_altname_exact","STGEUR","STGEUR","STG/EUR","STG","ZEUR","STG","EUR","online","True","{""pair_key"":""STGEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""STG"",""quote"":""ZEUR""}"
"6577","STGUSD_1.csv","STGUSD","2017","official_exact","official_altname_exact","STGUSD","STGUSD","STG/USD","STG","ZUSD","STG","USD","online","True","{""pair_key"":""STGUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""STG"",""quote"":""ZUSD""}"
"6585","STORJEUR_1.csv","STORJEUR","2537","official_exact","official_altname_exact","STORJEUR","STORJEUR","STORJ/EUR","STORJ","ZEUR","STORJ","EUR","online","True","{""pair_key"":""STORJEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""STORJ"",""quote"":""ZEUR""}"
"6593","STORJUSD_1.csv","STORJUSD","4701","official_exact","official_altname_exact","STORJUSD","STORJUSD","STORJ/USD","STORJ","ZUSD","STORJ","USD","online","True","{""pair_key"":""STORJUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""STORJ"",""quote"":""ZUSD""}"
"6601","STRDEUR_1.csv","STRDEUR","510","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","STRD/EUR","STRD","ZEUR","STRD","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6601,""official_support_url"":""""}"
"6609","STRDUSD_1.csv","STRDUSD","7343","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","STRD/USD","STRD","ZUSD","STRD","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6609,""official_support_url"":""""}"
"6617","STRKEUR_1.csv","STRKEUR","2630","official_exact","official_altname_exact","STRKEUR","STRKEUR","STRK/EUR","STRK","ZEUR","STRK","EUR","online","True","{""pair_key"":""STRKEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""STRK"",""quote"":""ZEUR""}"
"6625","STRKUSD_1.csv","STRKUSD","7006","official_exact","official_altname_exact","STRKUSD","STRKUSD","STRK/USD","STRK","ZUSD","STRK","USD","online","True","{""pair_key"":""STRKUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""STRK"",""quote"":""ZUSD""}"
"6633","STXEUR_1.csv","STXEUR","4637","official_exact","official_altname_exact","STXEUR","STXEUR","STX/EUR","STX","ZEUR","STX","EUR","online","True","{""pair_key"":""STXEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""STX"",""quote"":""ZEUR""}"
"6641","STXUSD_1.csv","STXUSD","20548","official_exact","official_altname_exact","STXUSD","STXUSD","STX/USD","STX","ZUSD","STX","USD","online","True","{""pair_key"":""STXUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""STX"",""quote"":""ZUSD""}"
"6649","SUIEUR_1.csv","SUIEUR","36645","official_exact","official_altname_exact","SUIEUR","SUIEUR","SUI/EUR","SUI","ZEUR","SUI","EUR","online","True","{""pair_key"":""SUIEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUI"",""quote"":""ZEUR""}"
"6657","SUIGBP_1.csv","SUIGBP","19563","official_exact","official_altname_exact","SUIGBP","SUIGBP","SUI/GBP","SUI","ZGBP","SUI","GBP","online","True","{""pair_key"":""SUIGBP"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUI"",""quote"":""ZGBP""}"
"6665","SUIUSD_1.csv","SUIUSD","97011","official_exact","official_altname_exact","SUIUSD","SUIUSD","SUI/USD","SUI","ZUSD","SUI","USD","online","True","{""pair_key"":""SUIUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUI"",""quote"":""ZUSD""}"
"6673","SUNDOGEUR_1.csv","SUNDOGEUR","688","official_exact","official_altname_exact","SUNDOGEUR","SUNDOGEUR","SUNDOG/EUR","SUNDOG","ZEUR","SUNDOG","EUR","online","True","{""pair_key"":""SUNDOGEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUNDOG"",""quote"":""ZEUR""}"
"6681","SUNDOGUSD_1.csv","SUNDOGUSD","8750","official_exact","official_altname_exact","SUNDOGUSD","SUNDOGUSD","SUNDOG/USD","SUNDOG","ZUSD","SUNDOG","USD","online","True","{""pair_key"":""SUNDOGUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUNDOG"",""quote"":""ZUSD""}"
"6689","SUNEUR_1.csv","SUNEUR","1134","official_exact","official_altname_exact","SUNEUR","SUNEUR","SUN/EUR","SUN","ZEUR","SUN","EUR","online","True","{""pair_key"":""SUNEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUN"",""quote"":""ZEUR""}"
"6697","SUNUSD_1.csv","SUNUSD","3211","official_exact","official_altname_exact","SUNUSD","SUNUSD","SUN/USD","SUN","ZUSD","SUN","USD","online","True","{""pair_key"":""SUNUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUN"",""quote"":""ZUSD""}"
"6705","SUPEREUR_1.csv","SUPEREUR","3044","official_exact","official_altname_exact","SUPEREUR","SUPEREUR","SUPER/EUR","SUPER","ZEUR","SUPER","EUR","online","True","{""pair_key"":""SUPEREUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUPER"",""quote"":""ZEUR""}"
"6713","SUPERUSD_1.csv","SUPERUSD","19913","official_exact","official_altname_exact","SUPERUSD","SUPERUSD","SUPER/USD","SUPER","ZUSD","SUPER","USD","online","True","{""pair_key"":""SUPERUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUPER"",""quote"":""ZUSD""}"
"6721","SUSDC_1.csv","SUSDC","612","official_exact","official_altname_exact","SUSDC","SUSDC","S/USDC","S","USDC","S","USDC","online","True","{""pair_key"":""SUSDC"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""S"",""quote"":""USDC""}"
"6729","SUSDT_1.csv","SUSDT","229","official_exact","official_altname_exact","SUSDT","SUSDT","S/USDT","S","USDT","S","USDT","online","True","{""pair_key"":""SUSDT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""S"",""quote"":""USDT""}"
"6737","SUSD_1.csv","SUSD","19706","official_exact","official_altname_exact","SUSD","SUSD","S/USD","S","ZUSD","S","USD","online","True","{""pair_key"":""SUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""S"",""quote"":""ZUSD""}"
"6745","SUSHIEUR_1.csv","SUSHIEUR","2828","official_exact","official_altname_exact","SUSHIEUR","SUSHIEUR","SUSHI/EUR","SUSHI","ZEUR","SUSHI","EUR","online","True","{""pair_key"":""SUSHIEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUSHI"",""quote"":""ZEUR""}"
"6753","SUSHIUSD_1.csv","SUSHIUSD","7948","official_exact","official_altname_exact","SUSHIUSD","SUSHIUSD","SUSHI/USD","SUSHI","ZUSD","SUSHI","USD","online","True","{""pair_key"":""SUSHIUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SUSHI"",""quote"":""ZUSD""}"
"6761","SWARMSEUR_1.csv","SWARMSEUR","368","official_exact","official_altname_exact","SWARMSEUR","SWARMSEUR","SWARMS/EUR","SWARMS","ZEUR","SWARMS","EUR","online","True","{""pair_key"":""SWARMSEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SWARMS"",""quote"":""ZEUR""}"
"6769","SWARMSUSD_1.csv","SWARMSUSD","2226","official_exact","official_altname_exact","SWARMSUSD","SWARMSUSD","SWARMS/USD","SWARMS","ZUSD","SWARMS","USD","online","True","{""pair_key"":""SWARMSUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SWARMS"",""quote"":""ZUSD""}"
"6777","SWELLEUR_1.csv","SWELLEUR","1132","official_exact","official_altname_exact","SWELLEUR","SWELLEUR","SWELL/EUR","SWELL","ZEUR","SWELL","EUR","online","True","{""pair_key"":""SWELLEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SWELL"",""quote"":""ZEUR""}"
"6785","SWELLUSD_1.csv","SWELLUSD","12650","official_exact","official_altname_exact","SWELLUSD","SWELLUSD","SWELL/USD","SWELL","ZUSD","SWELL","USD","online","True","{""pair_key"":""SWELLUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SWELL"",""quote"":""ZUSD""}"
"6793","SXTEUR_1.csv","SXTEUR","4405","official_exact","official_altname_exact","SXTEUR","SXTEUR","SXT/EUR","SXT","ZEUR","SXT","EUR","online","True","{""pair_key"":""SXTEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SXT"",""quote"":""ZEUR""}"
"6801","SXTUSD_1.csv","SXTUSD","12858","official_exact","official_altname_exact","SXTUSD","SXTUSD","SXT/USD","SXT","ZUSD","SXT","USD","online","True","{""pair_key"":""SXTUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SXT"",""quote"":""ZUSD""}"
"6809","SYNEUR_1.csv","SYNEUR","1311","official_exact","official_altname_exact","SYNEUR","SYNEUR","SYN/EUR","SYN","ZEUR","SYN","EUR","online","True","{""pair_key"":""SYNEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SYN"",""quote"":""ZEUR""}"
"6817","SYNUSD_1.csv","SYNUSD","17441","official_exact","official_altname_exact","SYNUSD","SYNUSD","SYN/USD","SYN","ZUSD","SYN","USD","online","True","{""pair_key"":""SYNUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SYN"",""quote"":""ZUSD""}"
"6825","SYRUPEUR_1.csv","SYRUPEUR","15224","official_exact","official_altname_exact","SYRUPEUR","SYRUPEUR","SYRUP/EUR","SYRUP","ZEUR","SYRUP","EUR","online","True","{""pair_key"":""SYRUPEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SYRUP"",""quote"":""ZEUR""}"
"6833","SYRUPUSD_1.csv","SYRUPUSD","58639","official_exact","official_altname_exact","SYRUPUSD","SYRUPUSD","SYRUP/USD","SYRUP","ZUSD","SYRUP","USD","online","True","{""pair_key"":""SYRUPUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""SYRUP"",""quote"":""ZUSD""}"
"6841","TAOEUR_1.csv","TAOEUR","24936","official_exact","official_altname_exact","TAOEUR","TAOEUR","TAO/EUR","TAO","ZEUR","TAO","EUR","online","True","{""pair_key"":""TAOEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TAO"",""quote"":""ZEUR""}"
"6849","TAOUSD_1.csv","TAOUSD","77467","official_exact","official_altname_exact","TAOUSD","TAOUSD","TAO/USD","TAO","ZUSD","TAO","USD","online","True","{""pair_key"":""TAOUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TAO"",""quote"":""ZUSD""}"
"6857","TBTCEUR_1.csv","TBTCEUR","332","official_exact","official_altname_exact","TBTCEUR","TBTCEUR","TBTC/EUR","TBTC","ZEUR","TBTC","EUR","online","True","{""pair_key"":""TBTCEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TBTC"",""quote"":""ZEUR""}"
"6865","TBTCUSD_1.csv","TBTCUSD","1245","official_exact","official_altname_exact","TBTCUSD","TBTCUSD","TBTC/USD","TBTC","ZUSD","TBTC","USD","online","True","{""pair_key"":""TBTCUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TBTC"",""quote"":""ZUSD""}"
"6873","TBTCXBT_1.csv","TBTCXBT","803","official_exact","official_altname_exact","TBTCXBT","TBTCXBT","TBTC/XBT","TBTC","XXBT","TBTC","XBT","online","True","{""pair_key"":""TBTCXBT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TBTC"",""quote"":""XXBT""}"
"6881","TEEREUR_1.csv","TEEREUR","13499","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TEER/EUR","TEER","ZEUR","TEER","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6881,""official_support_url"":""""}"
"6889","TEERUSD_1.csv","TEERUSD","16462","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TEER/USD","TEER","ZUSD","TEER","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6889,""official_support_url"":""""}"
"6897","TERMEUR_1.csv","TERMEUR","83","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TERM/EUR","TERM","ZEUR","TERM","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6897,""official_support_url"":""""}"
"6905","TERMUSD_1.csv","TERMUSD","695","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TERM/USD","TERM","ZUSD","TERM","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6905,""official_support_url"":""""}"
"6913","TEUR_1.csv","TEUR","792","official_exact","official_altname_exact","TEUR","TEUR","T/EUR","T","ZEUR","T","EUR","online","True","{""pair_key"":""TEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""T"",""quote"":""ZEUR""}"
"6921","TIAEUR_1.csv","TIAEUR","9704","official_exact","official_altname_exact","TIAEUR","TIAEUR","TIA/EUR","TIA","ZEUR","TIA","EUR","online","True","{""pair_key"":""TIAEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TIA"",""quote"":""ZEUR""}"
"6929","TIAUSD_1.csv","TIAUSD","32959","official_exact","official_altname_exact","TIAUSD","TIAUSD","TIA/USD","TIA","ZUSD","TIA","USD","online","True","{""pair_key"":""TIAUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TIA"",""quote"":""ZUSD""}"
"6937","TITCOINEUR_1.csv","TITCOINEUR","11041","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TITCOIN/EUR","TITCOIN","ZEUR","TITCOIN","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6937,""official_support_url"":""""}"
"6945","TITCOINUSD_1.csv","TITCOINUSD","56433","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TITCOIN/USD","TITCOIN","ZUSD","TITCOIN","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6945,""official_support_url"":""""}"
"6953","TLMEUR_1.csv","TLMEUR","1421","official_exact","official_altname_exact","TLMEUR","TLMEUR","TLM/EUR","TLM","ZEUR","TLM","EUR","online","True","{""pair_key"":""TLMEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TLM"",""quote"":""ZEUR""}"
"6961","TLMUSD_1.csv","TLMUSD","4344","official_exact","official_altname_exact","TLMUSD","TLMUSD","TLM/USD","TLM","ZUSD","TLM","USD","online","True","{""pair_key"":""TLMUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TLM"",""quote"":""ZUSD""}"
"6969","TNSREUR_1.csv","TNSREUR","2438","official_exact","official_altname_exact","TNSREUR","TNSREUR","TNSR/EUR","TNSR","ZEUR","TNSR","EUR","online","True","{""pair_key"":""TNSREUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TNSR"",""quote"":""ZEUR""}"
"6977","TNSRUSD_1.csv","TNSRUSD","5235","official_exact","official_altname_exact","TNSRUSD","TNSRUSD","TNSR/USD","TNSR","ZUSD","TNSR","USD","online","True","{""pair_key"":""TNSRUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TNSR"",""quote"":""ZUSD""}"
"6985","TOKEEUR_1.csv","TOKEEUR","1311","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TOKE/EUR","TOKE","ZEUR","TOKE","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":6985,""official_support_url"":""""}"
"6993","TOKENEUR_1.csv","TOKENEUR","500","official_exact","official_altname_exact","TOKENEUR","TOKENEUR","TOKEN/EUR","TOKEN","ZEUR","TOKEN","EUR","online","True","{""pair_key"":""TOKENEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TOKEN"",""quote"":""ZEUR""}"
"7001","TOKENUSD_1.csv","TOKENUSD","5367","official_exact","official_altname_exact","TOKENUSD","TOKENUSD","TOKEN/USD","TOKEN","ZUSD","TOKEN","USD","online","True","{""pair_key"":""TOKENUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TOKEN"",""quote"":""ZUSD""}"
"7009","TOKEUSD_1.csv","TOKEUSD","13085","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TOKE/USD","TOKE","ZUSD","TOKE","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":7009,""official_support_url"":""""}"
"7017","TONEUR_1.csv","TONEUR","74315","official_exact","official_altname_exact","TONEUR","TONEUR","TON/EUR","TON","ZEUR","TON","EUR","online","True","{""pair_key"":""TONEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TON"",""quote"":""ZEUR""}"
"7025","TONUSDC_1.csv","TONUSDC","2536","official_exact","official_altname_exact","TONUSDC","TONUSDC","TON/USDC","TON","USDC","TON","USDC","online","True","{""pair_key"":""TONUSDC"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TON"",""quote"":""USDC""}"
"7033","TONUSDT_1.csv","TONUSDT","5455","official_exact","official_altname_exact","TONUSDT","TONUSDT","TON/USDT","TON","USDT","TON","USDT","online","True","{""pair_key"":""TONUSDT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TON"",""quote"":""USDT""}"
"7041","TONUSD_1.csv","TONUSD","47228","official_exact","official_altname_exact","TONUSD","TONUSD","TON/USD","TON","ZUSD","TON","USD","online","True","{""pair_key"":""TONUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TON"",""quote"":""ZUSD""}"
"7049","TOSHIEUR_1.csv","TOSHIEUR","4461","official_exact","official_altname_exact","TOSHIEUR","TOSHIEUR","TOSHI/EUR","TOSHI","ZEUR","TOSHI","EUR","online","True","{""pair_key"":""TOSHIEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TOSHI"",""quote"":""ZEUR""}"
"7057","TOSHIUSD_1.csv","TOSHIUSD","38638","official_exact","official_altname_exact","TOSHIUSD","TOSHIUSD","TOSHI/USD","TOSHI","ZUSD","TOSHI","USD","online","True","{""pair_key"":""TOSHIUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TOSHI"",""quote"":""ZUSD""}"
"7065","TRACEUR_1.csv","TRACEUR","4412","official_exact","official_altname_exact","TRACEUR","TRACEUR","TRAC/EUR","TRAC","ZEUR","TRAC","EUR","online","True","{""pair_key"":""TRACEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRAC"",""quote"":""ZEUR""}"
"7073","TRACUSD_1.csv","TRACUSD","11881","official_exact","official_altname_exact","TRACUSD","TRACUSD","TRAC/USD","TRAC","ZUSD","TRAC","USD","online","True","{""pair_key"":""TRACUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRAC"",""quote"":""ZUSD""}"
"7081","TREMPEUR_1.csv","TREMPEUR","826","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TREMP/EUR","TREMP","ZEUR","TREMP","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":7081,""official_support_url"":""""}"
"7089","TREMPUSD_1.csv","TREMPUSD","6952","official_exact","official_altname_exact","TREMPUSD","TREMPUSD","TREMP/USD","TREMP","ZUSD","TREMP","USD","cancel_only","True","{""pair_key"":""TREMPUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TREMP"",""quote"":""ZUSD""}"
"7097","TRUEUR_1.csv","TRUEUR","1041","official_exact","official_altname_exact","TRUEUR","TRUEUR","TRU/EUR","TRU","ZEUR","TRU","EUR","online","True","{""pair_key"":""TRUEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRU"",""quote"":""ZEUR""}"
"7105","TRUMPEUR_1.csv","TRUMPEUR","20811","official_exact","official_altname_exact","TRUMPEUR","TRUMPEUR","TRUMP/EUR","TRUMP","ZEUR","TRUMP","EUR","online","True","{""pair_key"":""TRUMPEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRUMP"",""quote"":""ZEUR""}"
"7113","TRUMPUSDC_1.csv","TRUMPUSDC","19951","official_exact","official_altname_exact","TRUMPUSDC","TRUMPUSDC","TRUMP/USDC","TRUMP","USDC","TRUMP","USDC","online","True","{""pair_key"":""TRUMPUSDC"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRUMP"",""quote"":""USDC""}"
"7121","TRUMPUSDT_1.csv","TRUMPUSDT","17839","official_exact","official_altname_exact","TRUMPUSDT","TRUMPUSDT","TRUMP/USDT","TRUMP","USDT","TRUMP","USDT","online","True","{""pair_key"":""TRUMPUSDT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRUMP"",""quote"":""USDT""}"
"7129","TRUMPUSD_1.csv","TRUMPUSD","67738","official_exact","official_altname_exact","TRUMPUSD","TRUMPUSD","TRUMP/USD","TRUMP","ZUSD","TRUMP","USD","online","True","{""pair_key"":""TRUMPUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRUMP"",""quote"":""ZUSD""}"
"7137","TRUUSD_1.csv","TRUUSD","4508","official_exact","official_altname_exact","TRUUSD","TRUUSD","TRU/USD","TRU","ZUSD","TRU","USD","online","True","{""pair_key"":""TRUUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRU"",""quote"":""ZUSD""}"
"7145","TRXETH_1.csv","TRXETH","6090","official_exact","official_altname_exact","TRXETH","TRXETH","TRX/ETH","TRX","XETH","TRX","ETH","online","True","{""pair_key"":""TRXETH"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRX"",""quote"":""XETH""}"
"7153","TRXEUR_1.csv","TRXEUR","67423","official_exact","official_altname_exact","TRXEUR","TRXEUR","TRX/EUR","TRX","ZEUR","TRX","EUR","online","True","{""pair_key"":""TRXEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRX"",""quote"":""ZEUR""}"
"7161","TRXUSD_1.csv","TRXUSD","74061","official_exact","official_altname_exact","TRXUSD","TRXUSD","TRX/USD","TRX","ZUSD","TRX","USD","online","True","{""pair_key"":""TRXUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRX"",""quote"":""ZUSD""}"
"7169","TRXXBT_1.csv","TRXXBT","486","official_exact","official_altname_exact","TRXXBT","TRXXBT","TRX/XBT","TRX","XXBT","TRX","XBT","online","True","{""pair_key"":""TRXXBT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TRX"",""quote"":""XXBT""}"
"7177","TURBOEUR_1.csv","TURBOEUR","7035","official_exact","official_altname_exact","TURBOEUR","TURBOEUR","TURBO/EUR","TURBO","ZEUR","TURBO","EUR","online","True","{""pair_key"":""TURBOEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TURBO"",""quote"":""ZEUR""}"
"7185","TURBOUSD_1.csv","TURBOUSD","44628","official_exact","official_altname_exact","TURBOUSD","TURBOUSD","TURBO/USD","TURBO","ZUSD","TURBO","USD","online","True","{""pair_key"":""TURBOUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""TURBO"",""quote"":""ZUSD""}"
"7193","TUSDEUR_1.csv","TUSDEUR","6","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","TUSD/EUR","TUSD","ZEUR","TUSD","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":7193,""official_support_url"":""""}"
